Titre original	Titre français	Réalisateur	Couleur et Format	Année et Pays	Vu ? fois et Prod.	Genre	Acteurs	Actrices	Appréciation	Scénario	D'après	Photographie	Musique	DVD
Redhead and the cowboy (The)	Tête d'or et tête de bois	FENTON Leslie	NB / 82mn	1950 /USA	 / PAR (irving Asher)	western	Glenn Ford, Edmond O'Brien, Alan Reed, Morris Ankrum, Perry Ivins, Douglas Spencer, Ray Teal, King Donovan, Tom Moore, Iron Eyes Cody, Emry Parnell, 	Rhonda Fleming, Edith Evanson, Janine Perreau, 	B-. Agréable petit récit bien mené, avec des moments de bonne tension et d'autres de jolie alchimie sensuelle entre les 2 héros. Les personnages sont intéressants, tous plus ou moins dans un double rôle, avec Ford au milieu, naïf mais intelligent, qui manoeuvre avec finesse. Les magnifiques paysages autour de Sedona sont malheureusement en N & B. 	Jonathan Latimer + Liam O'Brien	hist. de Charles Marquis Warren	Daniel L. Fapp	David Buttolph	
On our merry way	Folle enquête (La)	FENTON Leslie + VIDOR King + HUSTON John (non crédité) + STEVENS George (non crédité)	NB / 107mn	1948 / USA	 / Miracle Prod. (Benedict Bogeaus + BurgessMeredith)	com.	Burgess Meredith, James Stewart, Henry Fonda, Fred MacMurray, William Demarest, Victor Moore, Charles Laughton, Harry James, Hugh Herbert, Eduardo Ciannelli, Charles D. Brown, Carl Switzer, Frank Moran, David Whorf, Walter Baldwin, Bobby Barber, Eddie Borden, Paul A. Burns, Chester Clute, Gino Corrado, Tom Fadden, Henry Hull, Paul Hurst, John Qualen, 	Paulette Goddard, Dorothy Lamour, Dorothy Ford, Elene Janssen, Betty Caldwell, Almira Sessions, 	"Bon. Un film à sketches arbitrairement lancé par le couple Meredith-Goddard, qui s'essaye gauchement à la farce avec des comédiens pas faits pour (même si Fonda et Stewart font un remarquable numéro de cabotinage, sur un prétexte dont ils sont les ""auteurs""). Le tout est trop hétéroclite, et s'il y a quelques moments joyeux, on se questionne régulièrement sur le sens d'un tel pataquès. La première séquence, avec le couple amoureux dans le même lit, étonne en ces périodes de pudibonderie. La séquence avec MacMurray fut dirigée par Fenton."	Laurence Stallings + Lou Breslow	hist. de Arch Oboler	Joseph Biroc + Edward Cronjager + John F. Seitz + Ernest Laszlo	Heinz Roemheld	
Eclipse sur un ancien chemin vers Compostelle		FÉRIÉ Bernard	Coul.	1979 / F	 / Filmodie	com. dr.	Jean Martin, Bruno Pradal, Jean Barney, Raymond Castellani, Roger Creyssac, 	Martine Chevalier, Monique Mélinand, Mireille Delacroix, 	"Bon. Son : Pierre Najnudel"	Bernard Férié		Sacha Vierny	Christian Maire	
Adrien		FERNANDEL	NB	1943 / F	 / Continental Films	com.	Fernandel, Jean Tissier, André Gabriello, Roger Duchêne, Jean Duvaleix, Georges Chamarat, Paul Azaïs, Georges Douking, Joe Amex, Georges Péclet, René Alié, Charles Lavialle, Paul Mirvil, Gesky, Rivers cadet, Gustave Gallet, 	Paulette Dubost, Jane Marken, Hughette Vivier, Dorette Ardenne, Odette Barancey, 	?	Jean Aurenche	pièce de Jean de Létraz	Armand Thirard	Roger Dumas	
Adhémar ou le jouet de la Fatalité		FERNANDEL + GUITRY Sacha	NB	1951 / F	 / Indusfilm (Henri Bérard)	com.	Fernandel, Andrex, Marcel Levesque, Arnaudy, Bever, Lucien Callamand, Duvalleix, Jacques de Feraudy, Jean Hervé, Henry Houry, Jose Noguero, Robert Seller, Robert Vitalin, Maurice Besnard, Roger Monteaux, Jacques Sablon, Amato, Jacques Sablon, Jean-Claude Méral, Noël Darzal, André Polack, 	Marguerite Pierry, Luce Fabiole, Louise Lagrange, Maximilienne, Jacqueline Pagnol, Primerose Perret, Bernadette Lange, Meg Lemonnier, Sophie Mallet, Annie Ravel, Louise Lagrange, Emma Lyonnel, 	Bon+. Le film aurait du être signé par Sacha GUITRY, puisqu'il n'en a manqué que le tournage pour cause d'opération. Il n'aurait en rien augmenté la notoriété du Maître, tellement tout y est plat et mou. On regrette en plus l'absence des grands seconds rôles habituels.	Sacha Guitry		Noël Ramettre	LouiguyPar. : S. Guitry	
Red (La)	Filet (Le)	FERNANDEZ Emilio	NB	1953 / Mex.	 / Reforma Films (Salvador Elizondo)	dr.	Crox Alvarado, Armando Silvestre, Guillermo Cramer, Carlos Riquelme, Armando Velasco	Rossana Podesta, Lilia Fresno, 	Bon+. Un bloc primitif, filmé plutôt lourdement, mais qui a l'intérêt de parfaitement présenter la vision simple et machiste de la vie par Fernandez. La photo très contrastée et la Rossana sont splendides... Walter Bonatti avait bien de la chance !!! mais ça, c’était plus tard...	Neftali Beltran + Emilio Fernandez		Alex Phillips	Antonio Diaz Conde	
Petits arrangements avec les morts		FERRAN Pascale	Coul.	1994 / F	 / Cinea - Eclipsa - La 7 (Aline Mehouel)	com. dr.	Didier Sandre, Charles Berling, Didier Bezace, Jean Dautremay, Guillaume Charras, Bruno Todeschini, Guillaume Raynal, Alain Pralon, Rudy Boccara, Jacques Ferran, Marc Betton, Alexandre Zloto, 	Catherine Ferran, Audrey Boitel, Sabrina Leurquin, Nadia Barentin, 	B+. Mais pas passionnant.	Pierre Tridivic + Pascale Ferran		Jean-Claude Larrieu	Béatrice Thiriet	
Lady Chatterley		FERRAN Pascale	Coul. / Écran large	2006 / F - Be	 / Maïa Films - Saga - Arte - Films du lendemain	dr.	Jean-Louis Coullo'ch, Hippolyte Girardot, Bernard Verley, Sava Lolov, Jean-Baptiste Montagu, Michel Vincent, Joël Vandael, Jacques De Bock, Jean-Baptiste de Laubier	Marina Hands, Hélène Alexandridis, Hélène Fillières, Christelle Hes, Ninon Brétécher, Anne Benoît, 	"B. Une adaptation naturelle, sensible, quelquefois malhabile mais souvent émouvante et délicate, contemplative, qui s'appuie ""naturellement"" sur le fond des choses. Vu la ""version courte"", à laquelle on croit deviner des lacunes dans le développement du récit, mais pas rédhibitoires."	"Pascale Ferran + Roger BohbotDial. : Pascale Ferran + Pierre Trividic + Roger Bohbot "	"""Lady Chatterley et l'homme des bois"", la 2e version de ""L'amant de Lady Chatterley"" de D. H. Lawrence"	Julie Hirsch	Béatrice Thiriet	
Fear city	New-York, 2 heures du matin	FERRARA Abel	Coul.	1984 / USA	 / Zupnik-Curtis	pol.	Tom Berenger, Billy Dee Williams, Jack Scalia, Joe Santis, Rossano Brazzi, 	Melanie Griffith, Rae Dawn Chang,	Bon+B.	Nicholas StJohn		James Lemmo	Dick Halligan	
Body snatchers		FERRARA Abel	Coul.	1992 / USA	 / WR (Robert H. Solo)	sc. fct.	Terry Kinney, Billy Wirth, R. Lee Emery, G. Elvis Phillips, Reilly Murphy, Forest Whitaker, Stanley Small, Keith Smith, 	Gabrielle Anwar, Meg Tilly, Christine Elise, Kathleen Doyle, Tonea Stewart, 	Bon+. Très esthétisant, avec une photo très travaillée, mais au dépens du rythme et de la sécheresse de l'original.	Stuart Gordon + Dennis Paoli + Nicholas St John	"rom. ""The body snatchers"" de Jack Finney et scenario par Daniel Mainwaring du film de D. SIEGEL (1956)"	Bojan Bazelli	Joe Delia	
Funeral (The)	Nos funérailles	FERRARA Abel	Coul. / Panavision / 99mn	1996 / USA	 / October Films - MDP Worldwide - C&P Prod. (Mary Kane)	pol.	Christopher Walken, Chris Penn, Vincent Gallo, Benicio del Toro, Paul Hipp, Victor Argo, John Ventimiglia, Patrick McGaw, Victor Argo, Gian di Donna, Dmitry Prachenko, Robert Miano, Frank John Hughes, 	Isabella Rossllini, Annabella Sciorra, Gretchen Mol, 	Bon+. On n'en a rien à faire des fucking problèmes des fucking italo-américains qui jouent les fucking gros bras parce que c'est la fucking vision du monde de fucking Ferrara. Pourtant, son sens visuel et narratif est puissant, et la structure et les thèmes de ses récits ne sont pas loin d'être ceux de la tragédie grecque. Quel dommage...	Nicholas St. John		Ken Kelsh	Joe Delia	
Cockleshell heroes (The)		FERRER José	Coul. / scope / 97mn	1955 / USA	 / Warwick Film Prod. (Phil C. Samuel + Irving Allen + Albert R. Broccoli)	gu.	José Ferrer, Trevor Howard, Victor Maddern, Anthony Newley, David Lodge, Peter rne, Percy Herbert, Graham Steart, John Fabian, John Van Eyssen, Robert Desmond, Walter Fitzgerald, Karel Stepanek, Jacques Brunius, Andrea Malandrinos, Christopher Lee, 	Beatrice Campbell, Gladys Henson, 	"Bon+. Une sorte de pré-""Dirty dozen"" en mode doux et maritime, avec les classiques moments de fantaisie et de débat au démarrage et la dernière demi-heure d'action... c'est assez anodin et fait sans élan."	Bryan Forbes + Richard Maibaum	hist. de George Kent	Ted Moore + John Wilcox	John Addison	
Great man (The)		FERRER José	NB	1956 / USA	 / U (Aaron Rosenberg)	dr.	José Ferrer, Dean Jagger, Keenan Wynn, Ed Wynn, Jim Backus, Russ Morgan, Edward C. Platt, Robert Foulk, Lyle Talbot, Vinton Hayworth, Henny Backus, Robert Schwartz, 	Julie London, Joanne Gilbert, Janie Alexander, Vikki Dougan, 	"B. Un film étrange, complètement marqué par l'espèce d'inertie cynique de Ferrer, qui déteint complètement sur la construction et le rythme du film. Une antithèse complète des aspirations esthétiques de ""Citizen Kane"" qui équivaut finalement à un jugement moral de celui-ci et du travail du journaliste. Froid et limité, mais finalement intéressant."	J. Ferrer + Al Morgan	rom. d'Al Morgan	Harold Lipstein	Herman Stein	
High cost of floving (The)	Amour coûte cher (L')	FERRER José	NB / scope / 87mn	1958 / USA	 / MGM (Milo O. Frank Jr.)	com. dr.	José Ferrer, Jim Backus, Bobby Troup, Philip Ober, Edward C. Platt, Charles Watts, Werner Klemperer, Malcolm Atterbury, Rodney Bell, Richard Deacon, Lucien Littlefield, Hank Mann, Stuart Holmes, 	Gena Rowlands, Joanne Gilbert, Jeanne Baird, Nancy Kulp, 	"B. Ferrer et Rowlands peignent un couple charmant, dont la mise en scène rend finement la complicité amoureuse ; c'est un des pans du film, l'autre versant, qui concerne les affres de Ferrer comme cadre moyen approchant la quarantaine, forme un balancier soccial intéressant dans la perspective de l'époque. Ferrer mène sa mise en scène d'une manière subtile et discrète, et Rowlands et charmante et belle."	Rip Van Ronkel	hist. de Rip Van Ronkel + Milo O. Frank Jr.	George J. Folsey	Jeff Alexander	
